Fase;Subfase;Codigo;Actividad;Responsable;Tercero_externo;Mes_inicio;Mes_fin;Duracion_semanas_min;Duracion_semanas_max;Precedencia;Hito;Critica
5;Diseno;5.5;Diseno electrico RETIE;DAO;Ing electrico;6;7;3;4;5.3;;No
5;Diseno;5.6;Diseno hidrosanitario y gas;DAO;Ing hidrosanitario;6;7;3;4;5.3+6.1;;No
5;Diseno;5.7;Presupuesto detallado y programacion;DAO+ADM;;7;7;3;4;5.3+5.4+5.5+5.6;G-2;SI
6;Servicios;6.1;Disponibilidad de acueducto;DAO;Acueducto/Corpoboyaca;3;5;3;8;3.1;G-1;SI
6;Servicios;6.2;Alcantarillado o solucion individual;JUR;Corpoboyaca;4;7;6;16;5.2+5.6;;SI
6;Servicios;6.3;Energia electrica;DAO;Operador de red;3;5;4;10;3.1;;SI
6;Servicios;6.4;Gas y otros servicios;DAO;Distribuidora;4;5;2;4;-;;No
6;Servicios;6.5;Permisos ambientales especificos;JUR;Corpoboyaca;5;8;6;20;5.1+5.6;;No
7;Licencias;7.1;Preparacion y radicacion;JUR;Curador;7;7;2;3;5.3+5.4+6.1+6.3+11.1;G-4;SI
7;Licencias;7.2;Tramite y resolucion;JUR;Curador;8;11;8;16;7.1;;SI
7;Licencias;7.3;Licencia de espacio publico;JUR;Planeacion;8;9;4;8;5.1;;No
8;Comercial;8.1;Marca identidad y piezas;COM;;6;9;6;10;5.3;;No
8;Comercial;8.2;Habilitacion legal para enajenar;JUR;Municipio;11;12;3;6;7.2+4.2;G-5;SI
8;Comercial;8.3;Documentos de vinculacion;JUR;;10;12;3;4;4.4+5.3+7.2;;SI
8;Comercial;8.4;Plataforma digital y pauta;COM;;9;11;4;6;8.1;;No
8;Comercial;8.5;Frontera legal de comercializacion;JUR;;12;12;1;1;8.2+8.3;;No
8;Comercial;8.6;Canales y operacion comercial;COM;Inmobiliarias;10;26;4;6;8.1+8.3+8.5;;No
9;Preparacion obra;9.1;Contratacion de obra;ADM;Contratistas;11;12;4;6;5.7+7.2+8.2;;SI
9;Preparacion obra;9.2;Organizacion almacen y control;ADM;;12;13;3;4;9.1;;No
9;Preparacion obra;9.3;SST y formalizacion laboral;ADM+JUR;ARL/Prof SST;11;13;3;4;9.1;G-5;SI
9;Preparacion obra;9.4;Logistica transporte proveedores;ADM;;11;12;3;4;5.7;;No
9;Preparacion obra;9.5;Servicios provisionales y actas vecindad;ADM;Operador de red;12;13;2;4;7.2+6.3;;SI
10;Obra;10.1;Preliminares y movimiento de tierras;DAO;Topografo;14;15;3;5;G-5;;SI
10;Obra;10.2;Urbanismo interno y accesos;DAO;;15;19;10;16;10.1+7.3;;No
10;Obra;10.3;Cimentacion y estructura;DAO;Calculista/Laboratorio;15;20;12;20;10.1;;SI
10;Obra;10.4;Instalaciones;DAO;;19;22;6;10;10.3;;SI
10;Obra;10.5;Acabados;DAO;;21;26;10;16;10.4;;SI
10;Obra;10.6;Certificaciones y conexion definitiva;DAO;Organismo ONAC/Empresas;25;27;4;8;10.4+10.5;;SI
10;Obra;10.7;Control de avance y flujo de caja;DAO+ADM;;14;27;-;-;transversal;G-6;SI
11;Titulacion;11.1;Decision PH vs loteo;JUR;Curador;5;6;2;3;2.1+2.2;G-3;SI
11;Titulacion;11.2;Constitucion de PH;JUR;Abogado PH/Notario/ORIP;20;24;6;12;7.2+10.3;;SI
11;Titulacion;11.3;Ruta alternativa subdivision;JUR;Curador/Notario/ORIP;20;24;8;16;11.1;;SI
12;Cierre comercial;12.1;Escrituracion;JUR;Notario/Banco/Avaluador;24;30;4;10;11.2+10.6;;SI
12;Cierre comercial;12.2;Preparacion de la entrega;DAO;;24;30;1;2;10.5+10.6;;No
12;Cierre comercial;12.3;Acta de entrega y recibo;DAO+ADM;;24;30;1;3;12.1+12.2;;SI
12;Cierre comercial;12.4;Entrega zonas comunes y administracion;JUR;;28;30;3;5;11.2+10.2;;No
13;Posventa;13.1;Regimen de garantias y provision;JUR+ADM;Aseguradora;25;36;-;-;12.3;;No
13;Posventa;13.2;Protocolo de reclamaciones;ADM+DAO;;25;36;-;-;12.3;;No
13;Posventa;13.3;Acompanamiento a la copropiedad;DAO+ADM;;28;40;-;-;12.4;;No
14;Cierre;14.1;Liquidacion de contratistas;ADM;;31;32;4;6;10+12.3;;No
14;Cierre;14.2;Cierre contable y tributario;ADM;Contadora;31;33;4;8;12.1+14.1;;SI
14;Cierre;14.3;Liquidacion de cuentas en participacion;JUR;Contadora;33;33;2;4;14.2;G-8;SI
14;Cierre;14.4;Archivo y leccciones aprendidas;ADM;;33;33;2;3;14.3;;No
